,song,artist
0,Sunflower  Spiderman: Into The Spiderverse,Post Malone
1,Lucid Dreams,Juice Wrld
2,Xo Tour Llif3,Lil Uzi Vert
3,No Role Modelz,J. Cole
4,Rockstar,Post Malone
5,Goosebumps,Travis Scott
6,Blinding Lights,The Weeknd
7,Jocelyn Flores,Xxxtentacion
8,Sad!,Xxxtentacion
9,All Girls Are The Same,Juice Wrld
10,Humble.,Kendrick Lamar
11,Circles,Post Malone
12,Sicko Mode,Travis Scott
13,Drip Too Hard (Lil Baby & Gunna),Lil Baby
14,Congratulations,Post Malone
15,I Fall Apart,Post Malone
16,Heat Waves,Glass Animals
17,God'S Plan,Drake
18,The Box,Roddy Ricch
19,Middle Child,J. Cole
20,Fuck Love,Xxxtentacion
21,Better Now,Post Malone
22,One Dance,Drake
23,Good 4 U,Olivia Rodrigo
24,Robbery,Juice Wrld
25,Lovely,Billie Eilish
26,Slow Dancing In The Dark,Joji
27,Moonlight,Xxxtentacion
28,Ric Flair Drip (& Metro Boomin),Offset
29,Stay,The Kid Laroi
30,Someone You Loved,Lewis Capaldi
31,Watermelon Sugar,Harry Styles
32,Wow.,Post Malone
33,Location,Khalid
34,Sweater Weather,The Neighbourhood
35,Yes Indeed,Lil Baby
36,Closer,The Chainsmokers
37,Psycho,Post Malone
38,The Hills,The Weeknd
39,Levitating,Dua Lipa
40,Bad Guy,Billie Eilish
41,Whiskey Glasses,Morgan Wallen
42,Drivers License,Olivia Rodrigo
43,Kiss Me More,Doja Cat
44,Rockstar,Dababy
45,Industry Baby,Lil Nas X
46,Starboy,The Weeknd
47,Redbone,Childish Gambino
48,Blueberry Faygo,Lil Mosey
49,Going Bad,Meek Mill
50,Young Dumb & Broke,Khalid
52,Shape Of You,Ed Sheeran
53,7 Rings,Ariana Grande
54,When The Party'S Over,Billie Eilish
55,Love. Feat. Zacari.,Kendrick Lamar
56,I Like It,Cardi B
57,Truth Hurts,Lizzo
58,Without Me,Halsey
59,18002738255,Logic
60,Meant To Be,Bebe Rexha
61,"Thank U, Next",Ariana Grande
62,Look Alive,Blocboy Jb
63,Happier,Marshmello
64,Say You Won'T Let Go,James Arthur
65,Roxanne,Arizona Zervas
66,Mood,24Kgoldn
67,Nice For What,Drake
68,Hot Girl Bummer,Blackbear
69,All I Want For Christmas Is You,Mariah Carey
70,Eastside,Benny Blanco
71,Bandit,Juice Wrld
72,Life Is Good,Future
73,Murder On My Mind,Ynw Melly
74,Deja Vu,Olivia Rodrigo
75,Rapstar,Polo G
76,Beautiful Crazy,Luke Combs
77,Bank Account,21 Savage
78,Wants And Needs,Drake
79,Wap,Cardi B
80,Highest In The Room,Travis Scott
81,Ransom,Lil Tecca
82,Mo Bamba,Sheck Wes
83,White Iverson,Post Malone
84,In My Feelings,Drake
85,Montero (Call Me By Your Name),Lil Nas X
86,Unforgettable,French Montana
87,Nonstop,Drake
88,Candy Paint,Post Malone
89,Broccoli,Dram
90,Don'T Start Now,Dua Lipa
91,Come & Go,Juice Wrld
92,Wishing Well,Juice Wrld
93,Bop,Dababy
94,20 Min,Lil Uzi Vert
95,Butterfly Effect,Travis Scott
96,Rockin' Around The Christmas Tree,Brenda Lee
97,Knife Talk,Drake
98,For The Night,Pop Smoke
99,Fake Love,Drake
100,Lemonade,Internet Money
101,Taste,Tyga
102,Mask Off,Future
103,Traitor,Olivia Rodrigo
104,Suge,Dababy
105,Good Days,Sza
106,Need To Know,Doja Cat
107,Money In The Grave (Drake Ft. Rick Ross),Drake
108,Ballin',Mustard
109,Don'T,Bryson Tiller
110,Adore You,Harry Styles
111,Believer,Imagine Dragons
112,I Like Me Better,Lauv
113,Bad And Boujee,Migos
114,Ispy,Kyle
115,Despacito  Remix,Luis Fonsi
116,Zeze,Kodak Black
117,The Way Life Goes,Lil Uzi Vert
118,Better,Khalid
119,Body Like A Back Road,Sam Hunt
120,Swervin,A Boogie Wit Da Hoodie
121,Thunder,Imagine Dragons
122,Dance Monkey,Tones And I
123,Don'T Let Me Down,The Chainsmokers
124,Pop Out,Polo G
125,No Guidance,Chris Brown
126,Passionfruit,Drake
127,Dark Red,Steve Lacy
128,Armed And Dangerous,Juice Wrld
129,Havana,Camila Cabello
130,Wasted On You,Morgan Wallen
131,Laugh Now Cry Later,Drake
132,That'S What I Like,Bruno Mars
133,Dna.,Kendrick Lamar
134,Save Your Tears,The Weeknd
135,Martin & Gina,Polo G
137,Godzilla,Eminem
138,Bounce Back,Big Sean
140,Whats Poppin,Jack Harlow
141,Everybody Dies In Their Nightmares,Xxxtentacion
142,Panda,Desiigner
143,Señorita,Shawn Mendes
144,Dreams  2004 Remaster,Fleetwood Mac
145,Bodak Yellow,Cardi B
146,Jingle Bell Rock,Bobby Helms
147,Jumpman,Drake
148,Falling,Trevor Daniel
149,Dákiti,Bad Bunny
150,Needed Me,Rihanna
151,Youngblood,5 Seconds Of Summer
152,Mr. Brightside,The Killers
153,Family Ties,Baby Keem
154,Woman,Doja Cat
155,505,Arctic Monkeys
156,Old Town Road  Remix,Lil Nas X
157,I'M The One,Dj Khaled
158,Hotline Bling,Drake
159,Drowning,A Boogie Wit Da Hoodie
